start_date,end_date,"station id",lat,lon,elev
1985/10/01,2100/01/01,732,41.11,-107.17,8150
1978/10/01,2100/01/01,393,40.89,-111.07,8158
1978/10/01,2100/01/01,533,41.31,-111.45,8160
1978/10/01,2100/01/01,347,44.51,-111.13,8170
1979/10/01,2100/01/01,554,42.27,-110.81,8180
1979/10/01,2100/01/01,325,43.89,-107.06,8200
1987/10/01,2100/01/01,596,40.84,-111.71,8200
1978/10/01,2100/01/01,689,43.52,-110.91,8200
1996/10/01,2100/01/01,921,35.7,-105.81,8210
2004/07/19,2100/01/01,1056,41.36,-111.49,8215
1987/10/01,2100/01/01,631,40.49,-112.61,8221
1979/10/01,2100/01/01,597,43.17,-110.14,8240
1983/10/01,2100/01/01,340,39.46,-119.94,8249
1979/10/01,2100/01/01,313,46.1,-113.13,8250
2007/06/10,2100/01/01,1098,41.9,-111.51,8270
1978/10/01,2100/01/01,330,40.61,-111.1,8280
1979/10/01,2100/01/01,656,45.41,-112.96,8300
1996/09/11,2100/01/01,916,45.6,-111.96,8300
1985/10/01,2100/01/01,461,39.31,-109.53,8301
2004/08/26,2100/01/01,1066,37.4,-113.46,8322
1979/10/01,2100/01/01,698,41.87,-115.25,8330
2003/08/07,2100/01/01,1045,41.23,-105.38,8330
1985/10/01,2100/01/01,661,43.11,-109.95,8340
2011/07/18,2100/01/01,1184,38.79,-111.69,8347
1978/10/01,2100/01/01,455,41.41,-111.54,8350
1980/08/28,2100/01/01,878,43.93,-109.82,8350
1979/10/01,2100/01/01,512,44.26,-106.98,8360
1978/10/01,2100/01/01,755,32.92,-108.15,8360
1978/10/01,2100/01/01,571,42.44,-105.86,8375
1979/10/01,2100/01/01,868,42.82,-110.84,8380
1978/10/01,2100/01/01,823,41.9,-111.63,8386
1978/10/01,2100/01/01,394,36.96,-106.66,8400
1978/10/01,2100/01/01,416,33.8,-109.15,8400
1979/10/01,2100/01/01,457,40.53,-106.78,8400
1980/10/01,2100/01/01,716,42.57,-106.09,8400
2010/08/18,2100/01/01,1130,43.67,-109.38,8400
1979/10/01,2100/01/01,450,43.6,-114.67,8420
1980/10/01,2100/01/01,549,41.53,-116.01,8420
1978/10/01,2100/01/01,806,44.48,-110.16,8420
1978/10/01,2100/01/01,772,41.33,-106.5,8440
